sp_name,length,url,field_name,area_name,executor_name,overload_name,sp_city_name,active,coordinates,hzz
Pravo,5,www.pravos.unios.hr/pfo/integriarni-studij,Pravo,Društvene znanosti,Pravni fakultet Sveučilišta u Osijeku,Sveučilište Josipa Jurja Strossmayera u Osijeku,Osijek,1,"18.6959121,45.560972","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Pravo,5,pravri.uniri.hr/hr/studiji/diplomski.html,Pravo,Društvene znanosti,Pravni fakultet Sveučilišta u Rijeci,Sveučilište u Rijeci,Rijeka,1,"14.4162938,45.343994","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Pravo,5,www.pravo.unizg.hr/upisi,Pravo,Društvene znanosti,Pravni fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9698215,45.8106462","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Religijska pedagogija i katehetika,3,www.kbf.unizg.hr/studiji/studij_religiozne_pedagogije_i_katehetike/,Teologija,Humanističke znanosti,Katolički bogoslovni fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9823032,45.8137305","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Povijest i geografija; smjer: nastavnički,5,www.pmf.unizg.hr/geog,Povijest,Humanističke znanosti,Filozofski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9695033,45.7968407","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Grafika,1,www.alu.unizg.hr/alu/cms/front_content.php?idcat=151&lang=1,Likovne umjetnosti,Umjetničko područje,Akademija likovnih umjetnosti Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9614183,45.8125577","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Učiteljski studij,5,web.foozos.hr/index.php?option=com_content&view=article&id=61&Itemid=254&lang=hr,Pedagogija,Društvene znanosti,Fakultet za odgojne i obrazovne znanosti Sveučilišta u Osijeku,Sveučilište Josipa Jurja Strossmayera u Osijeku,Osijek,1,"18.6959121,45.560972","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Učiteljski studij,5,www.ufri.uniri.hr/hr/studiji/integrirani-preddiplomski-i-diplomski-uciteljski-studij.html,Pedagogija,Društvene znanosti,Učiteljski fakultet Sveučilišta u Rijeci,Sveučilište u Rijeci,Rijeka,1,"15.961981,45.797253","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Drvnotehnološki procesi,2,www.sumfak.unizg.hr/StudijPojedinacno.aspx?mhID=2&mvID=48,Drvna tehnologija,Biotehničke znanosti,Šumarski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"16.0297253,45.82533979999999",Stručnjaci iz područja informatike i tehničkih znanosti
Učiteljski studij,5,www.ffst.hr/studiji/preddiplomski/uciteljski_studij,Pedagogija,Društvene znanosti,Filozofski fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4330741,43.5148935","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Učiteljski studij,5,www.unizd.hr/ucitelji-odgojitelji/Studijskiprogrami/Preddiplomskiidiplomskistudijzaučitelje/tabid/3292/Default.aspx,Pedagogija,Društvene znanosti,Sveučilište u Zadru,Sveučilište u Zadru,Zadar,1,"15.2268558,44.1112964","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
"Konzerviranje i restauriranje umjetnina: smjerovi: Slikarstvo, Kiparstvo",5,www.alu.unizg.hr/alu/cms/front_content.php?idcat=214&lang=1,Likovne umjetnosti,Umjetničko područje,Akademija likovnih umjetnosti Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9614183,45.8125577","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
"Poslovna ekonomija; smjerovi: Turizam, Marketing, Međunarodna trgovina, IT menadžment",2,www.unidu.hr/odjeli.php?idizbornik=31,Ekonomija,Društvene znanosti,Sveučilište u Dubrovniku,Sveučilište u Dubrovniku,Dubrovnik,1,"18.1003189,42.6440794","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Aeronautika,2,www.fpz.unizg.hr/SmotraSveucilista2014/studiji.php,"Zrakoplovstvo, raketna i svemirska tehnika",Tehničke znanosti,Fakultet prometnih znanosti Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"16.0093895,45.8144754",Stručnjaci iz područja informatike i tehničkih znanosti
Agrobiznis i ruralni razvitak,2,www.agr.unizg.hr/hr/ects/agrobiznis_i_ruralni_razvitak/12/11,Poljoprivreda (agronomija),Biotehničke znanosti,Agronomski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"16.029817,45.8282075","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Agroekologija,2,www.agr.unizg.hr/hr/ects/agroekologija/13/11,Poljoprivreda (agronomija),Biotehničke znanosti,Agronomski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"16.029817,45.8282075","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Agroekonomika,2,www.pfos.unios.hr/index.php/studiji/diplomski-studiji,Poljoprivreda (agronomija),Biotehničke znanosti,Poljoprivredni fakultet Sveučilišta u Osijeku,Sveučilište Josipa Jurja Strossmayera u Osijeku,Osijek,1,"18.7073763,45.556069","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
"Anglistika ; smjerovi: nastavnički, prevoditeljski",2,www.ffst.hr/studiji/engleski_jezik_i_knjizevnost,Filologija,Humanističke znanosti,Filozofski fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4330741,43.5148935","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Anglistika ; smjer: jezik i komunikacija,2,www.ffst.hr/studiji/engleski_jezik_i_knjizevnost,Filologija,Humanističke znanosti,Filozofski fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4330741,43.5148935","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
"Anglistika ; smjerovi: lingvistički, književno-kulturološki, prevoditeljski, nastavnički",2,www.ffzg.unizg.hr/programi/diplomski.html,Filologija,Humanističke znanosti,Filozofski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9695033,45.7968407","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Arheologija,2,www.unizd.hr/Obrazovanje/Studiji/Diplomski/tabid/78/language/hr-HR/Default.aspx,Arheologija,Humanističke znanosti,Sveučilište u Zadru,Sveučilište u Zadru,Zadar,1,"15.2268558,44.1112964","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
