sp_name,length,url,field_name,area_name,executor_name,overload_name,sp_city_name,active,coordinates,hzz
"Anglistika ; smjerovi: nastavnički, znanstveni",2,www.unizd.hr/engleski/Studijskiprogrami/Diplomski/tabid/2071/Default.aspx,Filologija,Humanističke znanosti,Sveučilište u Zadru,Sveučilište u Zadru,Zadar,1,"15.2268558,44.1112964","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Engleski jezik i književnost ; smjer: prevoditeljski,2,web.ffos.hr/?id=34,Filologija,Humanističke znanosti,Filozofski fakultet Sveučilišta u Osijeku,Sveučilište Josipa Jurja Strossmayera u Osijeku,Osijek,1,"18.6808884,45.558785","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Etnologija i antropologija,2,www.unizd.hr/Studiji/Reformirani/Diplomski/tabid/78/Default.aspx,Etnologija i antropologija,Humanističke znanosti,Sveučilište u Zadru,Sveučilište u Zadru,Zadar,1,"15.2268558,44.1112964","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
"Fagot; smjerovi: Izvođački, Pedagoško-izvođački",1,www.muza.unizg.hr/index.php?option=com_content&view=article&id=126&Itemid=244,Glazbena umjetnost,Umjetničko područje,Muzička akademija Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9686544,45.810104","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
"Film, Medijska umjetnost i Animacija",2,www.umas.hr/odjeli/likovna-umjetnost/film-i-video/,Filmska umjetnost,Umjetničko područje,Umjetnička akademija Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4473299,43.5085094","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Filmska i TV režija,2,www.adu.unizg.hr/index.php?option=com_content&view=article&id=338:studij-filmske-i-televizijske-reije-ba-i-ma&catid=40:pregled&Itemid=75,Filmska umjetnost,Umjetničko područje,Akademija dramske umjetnosti Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9701206,45.808606","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Filozofija,2,www.ffdi.hr/index.php/studiji/diplomski-studij.html,Filozofija,Humanističke znanosti,Filozofski fakultet Družbe Isusove,Sveučilište u Zagrebu,Zagreb,1,"15.9976772,45.82781300000001","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Filozofija ; smjer: nastavnički,2,www.ffst.hr/studiji/filozofija,Filozofija,Humanističke znanosti,Filozofski fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4330741,43.5148935","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Filozofija ; smjer: nastavnički,2,www.ffos.unios.hr/?id=164,Filozofija,Humanističke znanosti,Filozofski fakultet Sveučilišta u Osijeku,Sveučilište Josipa Jurja Strossmayera u Osijeku,Osijek,1,"18.6808884,45.558785","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Filozofija  ; smjer: nastavnički,2,www.unizd.hr/Obrazovanje/Studiji/Diplomski/tabid/78/language/hr-HR/Default.aspx,Filozofija,Humanističke znanosti,Sveučilište u Zadru,Sveučilište u Zadru,Zadar,1,"15.2268558,44.1112964","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
